"","GEOID","NAME","B19001A_001E","B19001A_001M"
"1","19001","Adair County, Iowa",3142,93
"2","19003","Adams County, Iowa",1469,87
"3","19005","Allamakee County, Iowa",5404,183
"4","19007","Appanoose County, Iowa",4982,229
"5","19009","Audubon County, Iowa",2472,68
"6","19011","Benton County, Iowa",9867,211
"7","19013","Black Hawk County, Iowa",45358,519
"8","19015","Boone County, Iowa",10603,264
"9","19017","Bremer County, Iowa",9286,177
"10","19019","Buchanan County, Iowa",7990,213
"11","19021","Buena Vista County, Iowa",5112,260
"12","19023","Butler County, Iowa",5626,122
"13","19025","Calhoun County, Iowa",3853,145
"14","19027","Carroll County, Iowa",8318,229
"15","19029","Cass County, Iowa",5627,121
"16","19031","Cedar County, Iowa",7312,178
"17","19033","Cerro Gordo County, Iowa",18139,341
"18","19035","Cherokee County, Iowa",4672,164
"19","19037","Chickasaw County, Iowa",4736,364
"20","19039","Clarke County, Iowa",3329,213
"21","19041","Clay County, Iowa",7045,224
"22","19043","Clayton County, Iowa",7253,174
"23","19045","Clinton County, Iowa",18112,371
"24","19047","Crawford County, Iowa",4687,206
"25","19049","Dallas County, Iowa",36935,644
"26","19051","Davis County, Iowa",3013,142
"27","19053","Decatur County, Iowa",2805,130
"28","19055","Delaware County, Iowa",7027,223
"29","19057","Des Moines County, Iowa",15401,325
"30","19059","Dickinson County, Iowa",8573,308
"31","19061","Dubuque County, Iowa",37824,429
"32","19063","Emmet County, Iowa",3805,159
"33","19065","Fayette County, Iowa",7859,187
"34","19067","Floyd County, Iowa",5998,246
"35","19069","Franklin County, Iowa",3672,151
"36","19071","Fremont County, Iowa",2569,86
"37","19073","Greene County, Iowa",3694,115
"38","19075","Grundy County, Iowa",4973,93
"39","19077","Guthrie County, Iowa",4301,181
"40","19079","Hamilton County, Iowa",5891,210
"41","19081","Hancock County, Iowa",4415,126
"42","19083","Hardin County, Iowa",6637,189
"43","19085","Harrison County, Iowa",5851,115
"44","19087","Henry County, Iowa",7189,226
"45","19089","Howard County, Iowa",3604,181
"46","19091","Humboldt County, Iowa",3901,104
"47","19093","Ida County, Iowa",2821,101
"48","19095","Iowa County, Iowa",6565,151
"49","19097","Jackson County, Iowa",7987,189
"50","19099","Jasper County, Iowa",14278,255
"51","19101","Jefferson County, Iowa",6259,210
"52","19103","Johnson County, Iowa",51267,703
"53","19105","Jones County, Iowa",7800,197
"54","19107","Keokuk County, Iowa",3951,109
"55","19109","Kossuth County, Iowa",6205,165
"56","19111","Lee County, Iowa",13562,239
"57","19113","Linn County, Iowa",83860,721
"58","19115","Louisa County, Iowa",3599,124
"59","19117","Lucas County, Iowa",3585,105
"60","19119","Lyon County, Iowa",4358,119
"61","19121","Madison County, Iowa",6509,149
"62","19123","Mahaska County, Iowa",8234,228
"63","19125","Marion County, Iowa",12781,258
"64","19127","Marshall County, Iowa",12550,343
"65","19129","Mills County, Iowa",5101,163
"66","19131","Mitchell County, Iowa",4427,109
"67","19133","Monona County, Iowa",3673,108
"68","19135","Monroe County, Iowa",3011,143
"69","19137","Montgomery County, Iowa",4338,153
"70","19139","Muscatine County, Iowa",14796,400
"71","19141","O'Brien County, Iowa",5311,208
"72","19143","Osceola County, Iowa",2317,106
"73","19145","Page County, Iowa",6037,181
"74","19147","Palo Alto County, Iowa",3595,126
"75","19149","Plymouth County, Iowa",9601,192
"76","19151","Pocahontas County, Iowa",2718,119
"77","19153","Polk County, Iowa",167211,1343
"78","19155","Pottawattamie County, Iowa",34179,448
"79","19157","Poweshiek County, Iowa",7396,293
"80","19159","Ringgold County, Iowa",1786,102
"81","19161","Sac County, Iowa",4053,112
"82","19163","Scott County, Iowa",61138,617
"83","19165","Shelby County, Iowa",4583,148
"84","19167","Sioux County, Iowa",11213,212
"85","19169","Story County, Iowa",32822,474
"86","19171","Tama County, Iowa",5811,156
"87","19173","Taylor County, Iowa",2339,76
"88","19175","Union County, Iowa",4827,165
"89","19177","Van Buren County, Iowa",2749,132
"90","19179","Wapello County, Iowa",11973,306
"91","19181","Warren County, Iowa",20007,307
"92","19183","Washington County, Iowa",8359,189
"93","19185","Wayne County, Iowa",2403,91
"94","19187","Webster County, Iowa",14004,389
"95","19189","Winnebago County, Iowa",4197,151
"96","19191","Winneshiek County, Iowa",7757,228
"97","19193","Woodbury County, Iowa",32024,592
"98","19195","Worth County, Iowa",3075,106
"99","19197","Wright County, Iowa",4575,189
